colony_id,Am,AQY,Rd,Ik,Ic
Dlab-A1,3.5411830398349533,0.016529824890451742,1.0014943895548607,214.229918544417,63.16586600784548
Dlab-A3,3.170164178301955,0.013196805468174064,1.1651916368065647,240.2220890462656,94.93879387982733
Dlab-A5,1.7754346101164031,0.00974946525524371,0.47868578479542634,182.10584515509635,50.98682051867883
Dlab-A6,3.4715016376579135,0.013020707262959728,-0.16511986808250453,266.6139071825511,-12.69569797624537
Dlab-B1,3.299132249785932,0.013118550474823049,1.104216871976264,251.4860354516746,89.32392588565426
Dlab-B4,1.3231771931791172,0.017277530685198304,0.6517311220796999,76.58369805777198,43.34367749863235
Dlab-D1,2.7435191922192246,0.013751002838006298,1.0269187017176242,199.5141172276128,80.53398363119142
Dlab-D3,2.9016316649223723,0.01077802434130089,1.389169743891884,269.21739764526734,146.8070817430998
Dlab-D5,2.3625130573522486,0.009824088731800297,0.6578028203145283,240.48164891923875,69.71499568607346
Dlab-D7,1.7024180735293168,0.007983293957728958,1.9888289956618295,213.24757456552572,NA
Dlab-F4,1.5301340534855017,0.025614010616184985,0.7748680063696862,59.73816738088804,35.082778812501246
Dlab-F7,0.9251387653171664,0.005176293046860667,1.5342547768936319,178.72611866096864,NA
Mcav-A1,2.3450814546502468,0.007953026391472709,0.8501961829228578,294.86655006761447,114.70607724629535
Mcav-A5,1.5018495601059407,0.008991300023554038,0.4136547594761067,167.03363875875837,47.85717698056821
Mcav-B1,2.096534291176286,0.012023637853230342,0.8327366517805341,174.36771772138982,75.46667598193186
Mcav-B6,2.5463433446572057,0.009824450619183356,0.7032049592023641,259.18429878258854,74.47322192809912
Mcav-B7,0.8591735017834117,0.00421967403104921,0.8767583107585056,203.61134425584544,NA
Mcav-C1,1.804931934349849,0.009002418592503867,0.9215169898602991,200.4941134211177,119.0484975321527
Mcav-C3,1.8365685729468755,0.01264605096872136,1.2489265584645026,145.2286233456934,134.7008292734824
Mcav-C4,1.2289576175829866,0.01803055275139061,0.5001781839464474,68.15973057111091,30.3696652446299
Mcav-D1,2.216315095114563,0.012421786928314207,1.0588466131417091,178.4215997186924,97.03077939817543
Mcav-E5,1.6578763328064186,0.008279260747300114,0.4812190536476504,200.244488416077,60.73839583264787
Mcav-F4,2.5484339121487065,0.030996003913263473,0.9096211630396817,82.21814396720373,31.415762475296695
Mcav-F6,2.05497259188692,0.011499286476339698,0.7492536366699818,178.70435666726968,69.97334284427423
Mdec-A1,1.9526959839774611,0.007997463489125896,0.6512782385520131,244.16441370848776,86.38179644882341
Mdec-A3,0.7935432465196839,0.004742948721738267,0.5595383401817179,167.3101045521855,166.37096941207298
Mdec-B1,1.9419918112920582,0.00839672426664868,0.6437289788152156,231.2796930828777,81.25843184955066
Mdec-B5,1.1288247989335989,0.0043023165450364045,0.39715571190228854,262.37604488584816,98.61730892878633
Mdec-C1,0.7627164312806416,0.004016046729648051,0.4947416763596822,189.91722024795334,161.86357843116812
Mdec-C6,3.233684745877174,0.023639242386735624,0.8143037187333221,136.79307877022526,35.5941620998684
Mdec-C7,1.0407837794447672,0.005283930951426183,1.0418971960009553,196.97149508811236,NA
Mdec-D1,0.7288221143889781,0.0034115741854368617,0.4836589259602352,213.6322045993118,189.51379168959778
Mdec-D4,0.45771661227986005,0.00675925131139875,0.24681405948236876,67.71705788005993,43.35878514918153
Mdec-E7,0.722136493491141,0.006505023860295978,0.6625540929734138,111.0121206316811,256.0686264862918
Mdec-F3,1.66040331116368,0.00669736474208333,1.0971353218560382,247.9189017032964,218.248615965043
Mdec-F6,0.6706157928475175,0.0065170549556701285,0.2301827140876926,102.9016630071612,37.604628845212694
Past-A1,2.6731476276081265,0.011520058293694842,0.9572582995654144,232.04289070925913,88.99696104751229
Past-A3,1.965662581728169,0.012440469234319972,1.0805800866523783,158.00550161769016,103.98125257352928
Past-A6,1.7193080601521877,0.011163059677127102,0.6313389300967795,154.01763583464643,60.80384306119454
Past-B5,0.8620819476395917,0.00793032238534474,0.39517325476935766,108.7070494426206,56.06832106783664
Past-C1,1.190677653474861,0.00843113585704925,0.9330800357296646,141.22387228280027,178.15729473572299
Past-C3,2.148646707994662,0.01133555742476079,0.9825164245114408,189.54927644769123,97.46205533496276
Past-C7,1.0002823989415965,0.01006696110157018,0.7932830836807289,99.3628950036947,129.36278498673522
Past-D1,2.6772812314548506,0.018080917474822905,1.0530137805834894,148.07220016256798,63.344253691302264
Past-D6,1.6394481805297842,0.01109110628848893,0.5733654670983821,147.81647005144202,55.18060884872219
Past-E4,0.8108972317916429,0.006387600073644329,0.31775848632840115,126.94865402382655,54.07044608393736
Past-E5,1.1430976242606985,0.010184366823120163,0.48219543900908585,112.24042143353299,52.220130404985376
Past-F4,1.4281729923646915,0.01809577258024733,0.46275615805102693,78.92301840285239,27.030920235624357
Past-F7,1.2286153090610448,0.011203989014474442,1.5792865089323538,109.65873917528799,NA
